epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.6489,0.99855,2.59173,1.3168,0.00588,1,0.57375,0.40486,0.67653,2.92466,1.10191,0.00012,0.00012,0.00012
2,110.613,0.7644,1.89444,1.22616,0.00582,0.98969,0.66451,0.50982,0.73336,2.83139,1.10922,0.000254852,0.000254852,0.000254852
3,161.07,0.78388,1.39941,1.16361,1,0.06687,0.78578,0.5501,0.78333,2.75459,1.14211,0.00038416,0.00038416,0.00038416
4,211.624,0.91417,1.37704,1.23424,0.83154,0.40206,0.59027,0.38614,1.02059,2.68414,1.41945,0.000507924,0.000507924,0.000507924
5,261.63,0.88268,1.19804,1.24317,0.78982,0.48454,0.59714,0.38821,1.12334,2.61497,1.56852,0.000626144,0.000626144,0.000626144
6,312.463,0.77123,1.17936,1.15775,0.89575,0.53152,0.62873,0.40095,1.16375,2.51888,1.58171,0.00073882,0.00073882,0.00073882
7,360.262,0.69789,1.18308,1.17965,0.8171,0.52577,0.57532,0.38099,1.16208,2.37091,1.64025,0.000845952,0.000845952,0.000845952
8,406.048,0.81855,1.20167,1.24644,0.92592,0.50515,0.59173,0.41982,1.12598,2.40514,1.56303,0.00094754,0.00094754,0.00094754
9,457.766,0.77884,1.23856,1.25476,0.8953,0.50515,0.59375,0.41839,1.15596,2.45233,1.65264,0.00104358,0.00104358,0.00104358
10,505.43,0.79266,1.20911,1.23192,0.92472,0.5567,0.63738,0.47554,1.03504,2.4006,1.43005,0.00113408,0.00113408,0.00113408
11,551.575,0.88852,1.29651,1.33609,0.86151,0.50515,0.59596,0.37176,1.22764,2.34295,2.08426,0.00121904,0.00121904,0.00121904
12,598.502,0.83875,1.12962,1.21984,0.95342,0.57732,0.6833,0.44546,1.06599,2.1229,1.68851,0.00129845,0.00129845,0.00129845
13,644.81,0.8497,1.16306,1.18967,0.84577,0.70103,0.75794,0.54011,0.95506,1.84528,1.46569,0.00137232,0.00137232,0.00137232
14,691.232,0.84655,1.20521,1.22772,0.84577,0.70103,0.75794,0.54011,0.95506,1.84528,1.46569,0.00144064,0.00144064,0.00144064
15,737.628,0.88461,1.12669,1.27467,0.84573,0.6782,0.75958,0.56832,0.87999,2.10468,1.39944,0.0014456,0.0014456,0.0014456
16,783.545,0.8065,1.12041,1.23803,0.88773,0.69072,0.84181,0.61868,0.86775,1.74986,1.37922,0.001406,0.001406,0.001406
17,830.016,0.81114,1.11911,1.19381,0.83478,0.72165,0.8357,0.61571,0.85016,1.67618,1.30148,0.0013664,0.0013664,0.0013664
