epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,137.15,0,0,53.5899,0,0,0,0,0,0,0,0,0,0,0,222.788,0,0.00012861,0.00012861,0.00012861
2,266.584,0,0,29.154,0,0,0,0,0,0,0,0,0,0,0,80.6046,0,0.000268822,0.000268822,0.000268822
3,393.403,0,0,21.0686,0,0,0,0,0,0,0,0,0,0,0,97.8195,0,0.000406205,0.000406205,0.000406205
4,519.355,0,0,16.1715,0,0,0,0,0,0,0,0,0,0,0,70.7594,0,0.000540758,0.000540758,0.000540758
5,644.913,0,0,13.1144,0,0,0,0,0,0,0,0,0,0,0,50.816,0,0.000672482,0.000672482,0.000672482
6,769.726,0,0,10.4885,0,0,0,0,0,0,0,0,0,0,0,95.2279,0,0.000801376,0.000801376,0.000801376
7,894.756,0,0,8.63861,0,0,0,0,0,0,0,0,0,0,0,95.2279,0,0.000927441,0.000927441,0.000927441
8,1019.71,0,0,7.28867,0,0,0,0,0,0,0,0,0,0,0,33.752,0,0.00105068,0.00105068,0.00105068
9,1143.8,0,0,6.28145,0,0,0,0,0,0,0,0,0,0,0,1135.02,0,0.00117108,0.00117108,0.00117108
10,1260.02,0,0,5.38358,0,0,0,0,0,0,0,0,0,0,0,1135.02,0,0.00128866,0.00128866,0.00128866
11,1374.14,0,0,3.99707,0,0,0,0,0,0,0,0,0,0,0,11.6309,0,0.00128753,0.00128753,0.00128753
12,1487.23,0,0,3.48361,0,0,0,0,0,0,0,0,0,0,0,128.709,0,0.00127338,0.00127338,0.00127338
13,1601.33,0,0,2.65525,0,0,0,0,0,0,0,0,0,0,0,128.709,0,0.00125923,0.00125923,0.00125923
14,1725.71,0,0,2.29287,0,0,0,0,0,0,0,0,0,0,0,4.34188,0,0.00124509,0.00124509,0.00124509
15,1849.33,0,0,2.00473,0,0,0,0,0,0,0,0,0,0,0,3.2696,0,0.00123094,0.00123094,0.00123094
16,1970.62,0,0,1.66226,0,0,0,0,0,0,0,0,0,0,0,3.2696,0,0.00121679,0.00121679,0.00121679
17,2092.38,0,0,1.42995,0,0,0,0,0,0,0,0,0,0,0,2.7791,0,0.00120265,0.00120265,0.00120265
18,2213.81,0,0,1.17826,0,0,0,0,0,0,0,0,0,0,0,2.7791,0,0.0011885,0.0011885,0.0011885
19,2335.27,0,0,0.93515,0,0,0,0,0,0,0,0,0,0,0,1.88519,0,0.00117435,0.00117435,0.00117435
20,2456.67,0,0,0.81832,0,0,0,0,0,0,0,0,0,0,0,1.5779,0,0.00116021,0.00116021,0.00116021
21,2578.22,0,0,0.6665,0,0,0,0,0,0,0,0,0,0,0,1.5779,0,0.00114606,0.00114606,0.00114606
22,2699.6,0,0,0.57352,0,0,0,0,0,0,0,0,0,0,0,1.38382,0,0.00113191,0.00113191,0.00113191
23,2820.27,0,0,0.50343,0,0,0,0,0,0,0,0,0,0,0,1.00883,0,0.00111776,0.00111776,0.00111776
24,2940.57,0,0,0.38684,0,0,0,0,0,0,0,0,0,0,0,1.00883,0,0.00110362,0.00110362,0.00110362
25,3061.6,0,0,0.35098,0,0,0,0,0,0,0,0,0,0,0,0.75506,0,0.00108947,0.00108947,0.00108947
