epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.5557,0,0,31.442,0,0,0,0,0,0,0,0,0,0,0,66.5702,0,0.00012861,0.00012861,0.00012861
2,102.895,0,0,30.7018,0,0,0,0,0,0,0,0,0,0,0,66.8188,0,0.000266134,0.000266134,0.000266134
3,152.422,0,0,30.0083,0,0,0,0,0,0,0,0,0,0,0,66.6276,0,0.000397999,0.000397999,0.000397999
4,201.729,0,0,29.2837,0,0,0,0,0,0,0,0,0,0,0,66.4122,0,0.000524206,0.000524206,0.000524206
5,249.094,0,0,28.5224,0,0,0,0,0,0,0,0,0,0,0,65.5544,0,0.000644753,0.000644753,0.000644753
6,295.431,0,0,27.6624,0,0,0,0,0,0,0,0,0,0,0,63.2784,0,0.000759642,0.000759642,0.000759642
7,341.612,0,0,26.9179,0,0,0,0,0,0,0,0,0,0,0,63.2784,0,0.000868872,0.000868872,0.000868872
8,387.381,0,0,26.1425,0,0,0,0,0,0,0,0,0,0,0,58.0835,0,0.000972443,0.000972443,0.000972443
9,432.869,0,0,25.6914,0,0,0,0,0,0,0,0,0,0,0,50.4256,0,0.00107036,0.00107036,0.00107036
10,478.55,0,0,25.3443,0,0,0,0,0,0,0,0,0,0,0,50.4256,0,0.00116261,0.00116261,0.00116261
11,524.018,0,0,24.5441,0,0,0,0,0,0,0,0,0,0,0,47.4414,0,0.00114606,0.00114606,0.00114606
12,570.217,0,0,24.3653,0,0,0,0,0,0,0,0,0,0,0,180.629,0,0.00111776,0.00111776,0.00111776
13,615.857,0,0,23.8036,0,0,0,0,0,0,0,0,0,0,0,180.629,0,0.00108947,0.00108947,0.00108947
14,661.708,0,0,23.4203,0,0,0,0,0,0,0,0,0,0,0,1436.07,0,0.00106118,0.00106118,0.00106118
15,707.938,0,0,23.1776,0,0,0,0,0,0,0,0,0,0,0,165.592,0,0.00103288,0.00103288,0.00103288
16,753.961,0,0,22.5665,0,0,0,0,0,0,0,0,0,0,0,165.592,0,0.00100459,0.00100459,0.00100459
17,800.446,0,0,22.5417,0,0,0,0,0,0,0,0,0,0,0,240.371,0,0.000976293,0.000976293,0.000976293
18,846.377,0,0,22.2436,0,0,0,0,0,0,0,0,0,0,0,240.371,0,0.000947999,0.000947999,0.000947999
19,940.893,0,0,21.9469,0,0,0,0,0,0,0,0,0,0,0,352.488,0,0.000919704,0.000919704,0.000919704
20,986.664,0,0,21.8001,0,0,0,0,0,0,0,0,0,0,0,200.654,0,0.00089141,0.00089141,0.00089141
