epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,184.101,2.17816,4.49177,1.63693,0.00226,0.09832,0.06097,0.03561,1.70678,4.20939,1.22934,0.0001111,0.0001111,0.0001111
2,354.546,1.85395,3.21715,1.29174,0.00733,0.20211,0.10169,0.05881,1.60722,3.90834,1.16103,0.00022869,0.00022869,0.00022869
3,523.318,1.7306,2.47526,1.25543,0.01535,0.2633,0.10026,0.05775,1.51589,3.78722,1.15774,0.000341441,0.000341441,0.000341441
4,692.337,1.71364,2.05294,1.24359,0.01864,0.41349,0.19838,0.10671,1.51069,3.59844,1.18172,0.000449353,0.000449353,0.000449353
5,861.124,1.61397,1.78513,1.20597,0.00978,0.34085,0.21115,0.12515,1.48531,3.56153,1.22098,0.000552425,0.000552425,0.000552425
6,1031.69,1.59618,1.66153,1.17817,0.01098,0.52998,0.32996,0.19376,1.44684,3.33305,1.22112,0.000650657,0.000650657,0.000650657
7,1201.27,1.5614,1.56697,1.1705,0.01372,0.65231,0.40317,0.22528,1.44478,3.16491,1.19875,0.00074405,0.00074405,0.00074405
8,1370.78,1.54351,1.52782,1.17357,0.83098,0.23556,0.5978,0.33291,1.51472,2.44948,1.22282,0.000832603,0.000832603,0.000832603
9,1541.23,1.537,1.3816,1.16243,0.84683,0.23,0.65949,0.35896,1.49018,2.41581,1.19721,0.000916317,0.000916317,0.000916317
10,1713.13,1.50941,1.31844,1.15071,0.76187,0.54368,0.72388,0.38899,1.46097,1.90968,1.17299,0.00091302,0.00091302,0.00091302
11,1883.92,1.4829,1.27906,1.13863,0.71719,0.67815,0.74219,0.40308,1.42869,1.85804,1.15569,0.000891022,0.000891022,0.000891022
12,2054.22,1.4623,1.26171,1.1237,0.74872,0.69377,0.77514,0.42631,1.41281,1.65798,1.17136,0.000869024,0.000869024,0.000869024
13,2224.46,1.44293,1.20263,1.12188,0.78268,0.72746,0.79211,0.45152,1.36049,1.52972,1.14467,0.000847026,0.000847026,0.000847026
14,2395.53,1.41548,1.18913,1.11569,0.76728,0.72345,0.78339,0.4389,1.3392,1.40834,1.14631,0.000825029,0.000825029,0.000825029
15,2567.51,1.40212,1.2004,1.09376,0.7988,0.7551,0.82556,0.46059,1.3619,1.36994,1.13723,0.000803031,0.000803031,0.000803031
16,2738.13,1.42102,1.12405,1.10253,0.82704,0.83038,0.85887,0.49448,1.32198,1.13608,1.13568,0.000781033,0.000781033,0.000781033
17,2908.29,1.39735,1.10251,1.09035,0.85447,0.82321,0.85719,0.4969,1.33356,1.18331,1.11648,0.000759035,0.000759035,0.000759035
18,3077.88,1.37897,1.13997,1.09633,0.86381,0.80933,0.85202,0.49674,1.27515,1.23163,1.09029,0.000737037,0.000737037,0.000737037
19,3247.65,1.36279,1.10384,1.09357,0.88585,0.84147,0.87902,0.52787,1.24941,1.04697,1.08315,0.00071504,0.00071504,0.00071504
20,3404.16,1.34661,1.05444,1.07482,0.87136,0.85765,0.87935,0.52392,1.27496,1.09809,1.09648,0.000693042,0.000693042,0.000693042
21,3560.89,1.36988,1.06197,1.08716,0.85551,0.8486,0.86965,0.52926,1.23277,1.10347,1.08426,0.000671044,0.000671044,0.000671044
22,3716.6,1.30749,1.04237,1.0624,0.8887,0.83965,0.87819,0.53522,1.23159,1.06749,1.07885,0.000649046,0.000649046,0.000649046
23,3873.26,1.3555,1.04042,1.06524,0.88627,0.83246,0.8788,0.53222,1.22281,1.02268,1.0754,0.000627048,0.000627048,0.000627048
24,4028.48,1.28234,1.00632,1.06777,0.87427,0.84357,0.8839,0.54097,1.20576,0.99566,1.07113,0.000605051,0.000605051,0.000605051
25,4184.17,1.3012,1.0003,1.06637,0.86473,0.8376,0.88034,0.52948,1.23105,1.00799,1.07731,0.000583053,0.000583053,0.000583053
26,4340.33,1.30206,1.00869,1.07234,0.84686,0.84581,0.8799,0.53424,1.20892,0.99772,1.06201,0.000561055,0.000561055,0.000561055
27,4496.26,1.28546,0.96876,1.06017,0.88104,0.86377,0.89936,0.56142,1.17246,0.95499,1.05697,0.000539057,0.000539057,0.000539057
28,4651.47,1.26487,0.95103,1.04771,0.91835,0.86904,0.91024,0.57399,1.16942,0.94054,1.04841,0.000517059,0.000517059,0.000517059
29,4806.66,1.25834,0.9486,1.05898,0.906,0.86736,0.91103,0.57636,1.16019,0.93341,1.04637,0.000495062,0.000495062,0.000495062
30,4961.85,1.23384,0.9203,1.0386,0.9277,0.88382,0.92699,0.58103,1.1347,0.89235,1.03763,0.000473064,0.000473064,0.000473064
31,5115.74,1.25759,0.92021,1.04063,0.93307,0.87252,0.92384,0.58038,1.14064,0.92282,1.03756,0.000451066,0.000451066,0.000451066
32,5269.93,1.22746,0.90115,1.02359,0.92129,0.88631,0.92544,0.58452,1.13522,0.88777,1.05426,0.000429068,0.000429068,0.000429068
33,5425.17,1.19843,0.8932,1.02601,0.93533,0.88545,0.91992,0.58407,1.13639,0.86986,1.05256,0.00040707,0.00040707,0.00040707
34,5582.22,1.19058,0.88781,1.03513,0.92289,0.89629,0.92963,0.58862,1.12332,0.87034,1.03325,0.000385073,0.000385073,0.000385073
35,5740.75,1.2406,0.88063,1.03136,0.8954,0.88847,0.91695,0.55567,1.19189,0.89714,1.0586,0.000363075,0.000363075,0.000363075
36,5900.37,1.20099,0.8858,1.02834,0.92622,0.87021,0.92277,0.58584,1.12969,0.88129,1.04348,0.000341077,0.000341077,0.000341077
37,6062.14,1.20959,0.87776,1.02981,0.9372,0.88628,0.92682,0.59262,1.12966,0.86053,1.03398,0.000319079,0.000319079,0.000319079
38,6220.22,1.19131,0.88058,1.01484,0.93331,0.88982,0.92874,0.59058,1.11897,0.84168,1.0251,0.000297081,0.000297081,0.000297081
39,6375.39,1.18522,0.87196,1.02221,0.94345,0.895,0.92962,0.60663,1.06437,0.81484,1.00796,0.000275084,0.000275084,0.000275084
40,6530.84,1.2093,0.86226,1.02159,0.93437,0.9023,0.9364,0.60371,1.11319,0.82539,1.01733,0.000253086,0.000253086,0.000253086
41,6682.11,1.15144,0.87233,1.02481,0.94442,0.90363,0.93629,0.61752,1.0509,0.81256,1.00318,0.000231088,0.000231088,0.000231088
42,6834.89,1.14409,0.85628,1.01903,0.94115,0.89872,0.93672,0.62109,1.0416,0.82315,1.00013,0.00020909,0.00020909,0.00020909
43,6986.21,1.13074,0.85041,1.0163,0.93971,0.9042,0.93998,0.62165,1.06209,0.79919,1.00957,0.000187092,0.000187092,0.000187092
44,7136.49,1.10516,0.81564,0.9959,0.94394,0.91293,0.94274,0.62957,1.03465,0.78824,1.00065,0.000165095,0.000165095,0.000165095
45,7286.51,1.10622,0.81402,1.01084,0.94057,0.90751,0.94148,0.63041,1.0232,0.78927,0.99747,0.000143097,0.000143097,0.000143097
46,7437.43,1.09239,0.81525,1.01199,0.94266,0.90791,0.94072,0.63074,1.01402,0.77377,0.9961,0.000121099,0.000121099,0.000121099
47,7589.21,1.09338,0.80253,1.00526,0.94621,0.90671,0.94327,0.63461,1.00336,0.7659,0.99163,9.91012e-05,9.91012e-05,9.91012e-05
48,7740.28,1.06731,0.7855,1.00025,0.9421,0.90606,0.94352,0.63636,1.00644,0.76656,0.99302,7.71034e-05,7.71034e-05,7.71034e-05
49,7891.01,1.08446,0.80327,1.01515,0.94801,0.90573,0.94437,0.63502,1.00904,0.76689,0.99543,5.51056e-05,5.51056e-05,5.51056e-05
50,8041.49,1.04081,0.77705,0.98399,0.94564,0.91012,0.94588,0.63786,1.00499,0.76334,0.99343,3.31078e-05,3.31078e-05,3.31078e-05
