epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,137.202,0,0,197.218,0,0,0,0,0,0,0,0,0,0,0,5193.51,0,9e-05,9e-05,9e-05
2,273.288,0,0,73.3805,0,0,0,0,0,0,0,0,0,0,0,1649.23,0,0.000188119,0.000188119,0.000188119
3,410.387,0,0,51.9338,0,0,0,0,0,0,0,0,0,0,0,241.99,0,0.000284258,0.000284258,0.000284258
4,545.49,0,0,41.6196,0,0,0,0,0,0,0,0,0,0,0,201.823,0,0.000378417,0.000378417,0.000378417
5,682.105,0,0,32.8862,0,0,0,0,0,0,0,0,0,0,0,381.907,0,0.000470596,0.000470596,0.000470596
6,817.341,0,0,26.1684,0,0,0,0,0,0,0,0,0,0,0,440.47,0,0.000560795,0.000560795,0.000560795
7,952.923,0,0,20.3095,0,0,0,0,0,0,0,0,0,0,0,440.47,0,0.000649014,0.000649014,0.000649014
8,1083.29,0,0,18.0704,0,0,0,0,0,0,0,0,0,0,0,696.601,0,0.000735253,0.000735253,0.000735253
9,1207.52,0,0,16.4114,0,0,0,0,0,0,0,0,0,0,0,436.063,0,0.000819512,0.000819512,0.000819512
10,1333.11,0,0,13.4742,0,0,0,0,0,0,0,0,0,0,0,436.063,0,0.000901791,0.000901791,0.000901791
11,1457.29,0,0,11.7023,0,0,0,0,0,0,0,0,0,0,0,37.0168,0,0.000901,0.000901,0.000901
12,1579.93,0,0,10.7285,0,0,0,0,0,0,0,0,0,0,0,24.4298,0,0.0008911,0.0008911,0.0008911
13,1703.14,0,0,8.66621,0,0,0,0,0,0,0,0,0,0,0,24.4298,0,0.0008812,0.0008812,0.0008812
14,1826.85,0,0,7.7353,0,0,0,0,0,0,0,0,0,0,0,184.456,0,0.0008713,0.0008713,0.0008713
15,1950.15,0,0,7.09448,0,0,0,0,0,0,0,0,0,0,0,15.6636,0,0.0008614,0.0008614,0.0008614
16,2072.67,0,0,5.65367,0,0,0,0,0,0,0,0,0,0,0,15.6636,0,0.0008515,0.0008515,0.0008515
17,2195.64,0,0,5.23344,0,0,0,0,0,0,0,0,0,0,0,12.3075,0,0.0008416,0.0008416,0.0008416
18,2321.98,0,0,4.5984,0,0,0,0,0,0,0,0,0,0,0,12.3075,0,0.0008317,0.0008317,0.0008317
19,2550.73,0,0,3.93921,0,0,0,0,0,0,0,0,0,0,0,9.31904,0,0.0008218,0.0008218,0.0008218
20,2661.4,0,0,3.72402,0,0,0,0,0,0,0,0,0,0,0,9.67733,0,0.0008119,0.0008119,0.0008119
21,2773.46,0,0,3.74526,0,0,0,0,0,0,0,0,0,0,0,9.67733,0,0.000802,0.000802,0.000802
22,2884.68,0,0,3.0447,0,0,0,0,0,0,0,0,0,0,0,6.27498,0,0.0007921,0.0007921,0.0007921
23,2995.7,0,0,2.71716,0,0,0,0,0,0,0,0,0,0,0,5.48037,0,0.0007822,0.0007822,0.0007822
24,3108.29,0,0,2.28166,0,0,0,0,0,0,0,0,0,0,0,5.48037,0,0.0007723,0.0007723,0.0007723
25,3220.41,0,0,2.13258,0,0,0,0,0,0,0,0,0,0,0,4.45869,0,0.0007624,0.0007624,0.0007624
26,3331.98,0,0,1.91258,0,0,0,0,0,0,0,0,0,0,0,4.45869,0,0.0007525,0.0007525,0.0007525
27,3443.93,0,0,2.45173,0,0,0,0,0,0,0,0,0,0,0,3.36809,0,0.0007426,0.0007426,0.0007426
28,3555.52,0,0,2.61789,0,0,0,0,0,0,0,0,0,0,0,24.6572,0,0.0007327,0.0007327,0.0007327
29,3666.66,0,0,1.54284,0,0,0,0,0,0,0,0,0,0,0,24.6572,0,0.0007228,0.0007228,0.0007228
